ProductoID,Marca,Descripción,DescripciónID,Tamaño,TamañoID
1007734,1007,12 Days of Pearls Gift Set,7,50mL 12 Pk,34
1752541,175,1800 Anejo Tequila,25,750mL,41
1975441,197,44* North Huckleberry Vodka,54,750mL,41
2156041,2156,(RI) 1,0,750mL,41
2342251,234,Allen's Ginger Brandy,225,1.75L,1
2427941,2427,13th Colony Sthrn Corn Whsky,9,750mL,41
3635250,363,4 Orange Vodka,52,Liter,50
3725541,372,44* North Magic Valley Vodka,55,750mL,41
5107411,510,Barton Vodka,741,1.75L,1
5758321,5758,1800 Ultimate Margarita RTD,32,1.75L,1
5798271,5798,1800 Raspberry Margarita RTD,27,1.75L,1
5852850,585,1800 Reposado Gold Tequila,28,Liter,50
7319201,731,Black & White Scotch,920,1.75L,1
7353331,7353,1800 Ultimate Peach Margrita,33,1.75L,1
8473301,8473,1800 Silver Tequila,30,1.75L,1
8474281,8474,1800 Reposado Gold Tequila,28,1.75L,1
10383141,1038,1800 Silver w/ Shot Glasses,31,750mL,41
10671062,1067,Absente  Glass & Spoon Pack,106,100mL,2
11580550,115,Belvedere Vodka,805,Liter,50
12818151,1281,Benchmark Old #8 Bourbon,815,1.75L,1
17139341,171,Gentleman Jack,3934,1.75L,1
17678991,176,Seagrams Twisted Lime Gin,7899,1.75L,1
18642241,1864,1792 Port Finish Bourbon,22,750mL,41
19802141,1980,1792 Full Proof Bourbon,21,750mL,41
20112341,2011,1792 Single Barrel Bourbon,23,750mL,41
21149451,2114,Black Velvet Canadian Whisky,945,1.75L,1
21374341,21374,10 Span Chard CC,3,750mL,41
21375241,21375,10 Span Cab Svgn CC,2,750mL,41
21533541,21533,10 Span Pnt Nr CC,5,750mL,41
21612350,216,Absolut Raspberri,123,Liter,50
21712650,217,Absolut Vanilia,126,Liter,50
23469491,2346,Black Velvet Toasted Caramel,949,1.75L,1
23522841,23522,13 Celsius Svgn Bl,8,750mL,41
23565441,23565,10 Span Pnt Gris Monterey Cy,4,750mL,41
23616141,23616,.nparalleled Svgn Blanc,1,750mL,41
23864041,2386,2 Gingers Irish Whiskey,40,750mL,41
26236191,2623,Ballantines,619,1.75L,1
26291641,26291,1000 Stories Znfdl,6,750mL,41
26899481,2689,Black Velvet Reserve,948,1.75L,1
27378131,273,Sauza Extra Gold Tequila,7813,1.75L,1
27429941,2742,Aberfeldy 12 Yr Single Malt,99,750mL,41
29010341,290,Aberlour A'Bunadh Sngle Malt,103,750mL,41
29502441,2950,1792 Sweet Wheat Bourbon,24,750mL,41
30031211,300,Don Q Gold Rum,3121,1.75L,1
30873341,308,Barsol Primero Quebranta Pso,733,750mL,41
32468191,3246,Bentley's Vodka,819,1.75L,1
33641241,3364,Absolut Ruby Red,124,1.75L,1
34155341,3415,42 Below Pure Vodka,53,750mL,41
34237691,3423,Beefeater,769,1.75L,1
34504441,3450,260 Vodka,44,750mL,41
36688031,3668,Belvedere Polish Vodka,803,1.75L,1
37094631,3709,Aslanoff Vodka,463,1.75L,1
37281131,3728,Absolut Citron,113,1.75L,1
37636841,376,Aperol Liqueur,368,750mL,41
38160741,381,Baileys Irish Cream w/4 Glss,607,750mL,41
38439941,384,Ardbeg Corryvreckan Scotch,399,750mL,41
38805141,3880,360 Double Chocolate Vodka,51,750mL,41
40546721,405,Jack Daniels & Coke,4672,1.75L,1
40665711,4066,Bacardi Oakheart Spiced Rum,571,1.75L,1
40755791,4075,Bacardi Pineapple Fusion,579,1.75L,1
41795591,4179,Bacardi Dragon Berry Rum,559,1.75L,1
41911350,419,Absolut Citron,113,Liter,50
42215621,4221,Bacardi Gold Rum Traveler,562,1.75L,1
42235611,4223,Bacardi Gold Rum,561,1.75L,1
42275841,4227,Bacardi Superior Rum Trav,584,1.75L,1
42295541,4229,Bacardi Black,554,1.75L,1
42435831,4243,Bacardi Superior Rum,583,1.75L,1
42675661,4267,Bacardi Limon Rum,566,1.75L,1
43821591,4382,Admiral Nelson Spiced Rum,159,1.75L,1
44246641,4424,Barbarossa Spiced Rum,664,1.75L,1
47873811,4787,Appleton Special Gold Rum,381,1.75L,1
48210950,482,Absolut 80 Proof,109,Liter,50
50275941,5027,99 Apples Schnapps Liqueur,59,750mL,41
50750291,507,Kamchatka Vodka,5029,1.75L,1
50858350,508,Bacardi Superior Rum,583,Liter,50
51945771,5194,Bacardi Party Mai Tai,577,1.75L,1
52145751,5214,Bacardi Party Drinks Rum Run,575,1.75L,1
52305731,5230,Bacardi Party Drinks Bahama,573,1.75L,1
52315741,5231,Bacardi Party Drinks Hurricn,574,1.75L,1
52465761,5246,Bacardi Party Drinks Zombie,576,1.75L,1
53112731,5311,Amaretto DiSaronno,273,1.75L,1
53387041,533,Berkshire Mtn Ragged Mtn Rum,870,750mL,41
53827324,538,Amaretto DiSaronno,273,375mL,24
54057933,540,Bacardi Pineapple Fusion,579,50mL,33
54152761,5415,Amaretto di Amore,276,1.75L,1
54386741,543,Berkshire Mtn Ethereal Gin,867,750mL,41
55544541,555,Art In The Age Sage,445,750mL,41
55605691,5560,Bacardi Mojito Cocktail,569,1.75L,1
56186941,561,Berkshire Mtn Ice Glen Vodka,869,750mL,41
56386841,563,Berkshire Mtn Greylock Gin,868,750mL,41
57667820,576,Pastene Marsala,6782,1.5L,0
58391841,58,Gekkeikan Black & Gold Sake,3918,750mL,41
58976041,5897,99 Bananas,60,750mL,41
59022350,590,Allen's Amaretto Liqueur,223,Liter,50
59760550,597,Baileys Irish Cream,605,Liter,50
60147641,60,Canadian Club 1858 VAP,1476,750mL,41
60517941,605,Alate Kosher Wine,179,750mL,41
60905741,6090,8000 Generations Shochu,57,750mL,41
61377050,613,Beefeater 24,770,Liter,50
61446521,614,J W Dant Bourbon,4652,1.75L,1
61583341,61,Margaritaville Silver,5833,750mL,41
62438341,62,Herradura Silver Tequila,4383,750mL,41
62459760,6245,Blossom Hill Chard,976,1.5L,0
63425050,6342,Avia Slovenia Chard,505,1.5L,0
63438141,63,Herradura Reposado Tequila,4381,750mL,41
64342440,6434,Almaden Wh Znfdl Cal,244,1.5L,0
64427350,644,Amaretto DiSaronno,273,Liter,50
65823150,658,Allens Triple Sec,231,Liter,50
65922370,6592,Almaden Chard Cal,237,1.5L,0
66440441,664,Ardbeg Uigeadail Scotch,404,750mL,41
68292410,6829,Almaden Moscato Rhine,241,1.5L,0
70567641,70,Luxardo Amaretto di Saschira,5676,750mL,41
70991912,709,Bitter Truth Orange Bitters,919,200mL,12
71191812,711,Bitter Truth Celery Bitters,918,200mL,12
71422750,714,Allen's Peach Schnapps,227,Liter,50
71763141,717,Balvenie 30 Yr Single Barrel,631,750mL,41
72622450,726,Allen's Blue Curacao Liqueur,224,Liter,50
72650841,72,No. 3 London Dry Gin,6508,750mL,41
73936141,7393,99 Blackberries,61,750mL,41
74332441,743,Angels Envy Whiskey,324,750mL,41
74622650,746,Allen's Melon Liqueur,226,Liter,50
74896133,7489,99 Blackberries,61,50mL,33
75375151,7537,Avion Silver Tequila,515,1.75L,1
75674050,756,Barton Long Island Iced Tea,740,Liter,50
75884541,75,Three Olives Tomato Vodka,8845,750mL,41
77161441,771,Bak's Krupnik Honey Liqueur,614,750mL,41
77573950,775,Barton Light Rum,739,Liter,50
77883541,77,Three Olives Espresso Vodka,8835,750mL,41
78309780,7830,Blossom Hill Wh Znfdl,978,1.5L,0
78422950,784,Allen's Sour Apple Liqueur,229,Liter,50
78782301,7878,Allens Coffee Brandy,230,1.75L,1
79883841,79,Three Olives Loopy Vodka,8838,750mL,41
80258741,802,Bacardi Torched Cherry Rum,587,750mL,41
80356150,803,Bacardi Gold Rum,561,Liter,50
80456650,804,Bacardi Limon Rum,566,Liter,50
80552150,805,B & B Liqueur Dom,521,Liter,50
80681091,8068,Absolut 80 Proof,109,1.75L,1
80826051,8082,Baileys Irish Cream,605,1.75L,1
81021171,8102,Absolut Mandrin,117,1.75L,1
81055541,810,Bacardi Black Razz,555,750mL,41
82452741,82,Hundred Acre Ark Vy Cab Svgn,4527,750mL,41
83685832,8368,Bacardi Superior Rum,583,100mL,2
84242641,8424,1800 Coconut Tequila,26,750mL,41
84342941,8434,1800 Select Silver Tequila,29,750mL,41
84423024,8442,1800 Silver Tequila,30,375mL,24
84533033,8453,1800 Silver Tequila,30,50mL,33
84692841,8469,1800 Reposado Gold Tequila,28,750mL,41
84702833,8470,1800 Reposado Gold Tequila,28,50mL,33
84723041,8472,1800 Silver Tequila,30,750mL,41
84762824,8476,1800 Reposado Gold Tequila,28,375mL,24
84842633,8484,1800 Coconut Tequila,26,50mL,33
85136063,8513,Baileys Irish Cream Mini's 4,606,100mL 4 Pk,3
85594450,855,Black Velvet,944,Liter,50
85977150,859,Beefeater Gin,771,Liter,50
86173850,861,Barton Gin,738,Liter,50
86311241,86,Don Julio Real Tequila,3112,750mL,41
86611650,866,Absolut Hibiskus,116,Liter,50
86704341,8670,Arrow Coffee Brandy,434,1.75L,1
87289890,8728,Blue Nun Authentic White,989,1.5L,0
88542841,885,Arrow Apricot Brandy,428,750mL,41
89911750,899,Absolut Mandrin,117,Liter,50
90662831,9066,American Harvest Organic,283,1.75L,1
95522850,955,Allen's Pomegranate Liqueur,228,Liter,50
97354941,973,Bacardi 1873 Solera Rum,549,750mL,41
97457050,974,Bacardi O Orange Rum,570,Liter,50
98912050,989,Absolut Pears,120,Liter,50
99033994,990,Ethyl Alcohol 200 Proof,3399,128.0 Gal,4
99411050,994,Absolut Apeach,110,Liter,50
99512450,995,Absolut Ruby Red,124,Liter,50
100160036,1001,Bailey's 50mL 4 Pack,600,50mL 4 Pk,36
100231541,100,Chivas Royal Salute,2315,750mL,41
102052041,1020,B & B Dom VAP,520,750mL,41
102827741,1028,Amaretto di Amore VAP,277,750mL,41
103151626,1031,Avion Tasting Flight 3/375mL,516,375mL 3 Pk,26
104216960,10421,Barefoot Moscato Cal,696,1.5L,0
104281441,1042,Benchmark Egg Nog,814,750mL,41
104631350,104,Mr Boston Wild Cherry Brandy,6313,Liter,50
104732341,1047,Angels Envy Hanover Chop,323,750mL,41
106181941,10618,14 Hands Rsl Wash,19,750mL,41
106630950,106,Mr Boston Peach Schnapps,6309,Liter,50
107316941,10731,A Bichot Chard Bourgogne,69,750mL,41
107327941,10732,A Bichot Pnt Nr Bourgogne,79,750mL,41
107337241,10733,A Bichot Macon-Villages,72,750mL,41
107346741,10734,A Bichot Chablis Long Depaqt,67,750mL,41
107630850,107,Mr Boston Melon Liqueur,6308,Liter,50
108560841,1085,Baileys Pumpkin Spice,608,750mL,41
108631050,108,Mr Boston Peppermint Schnaps,6310,Liter,50
109629850,109,Mr Boston Blue Curacao,6298,Liter,50
110610141,1106,Aberfeldy Single Cask,101,750mL,41
110630450,110,Mr Boston Creme de Menthe-Wh,6304,Liter,50
111240241,1112,Ardbeg Exploration Pk +50mls,402,750mL,41
111630350,111,Mr Boston Creme de Menthe Gr,6303,Liter,50
112630150,112,Mr Boston Cr de Cacao White,6301,Liter,50
113340413,1133,Glenmorangie Collection 4 Pk,4041,100mL 4 Pk,3
113630050,113,Mr Boston Cr de Cacao Brown,6300,Liter,50
114630250,114,Mr Boston Creme de Banana,6302,Liter,50
115666081,1156,Old New England Egg Nog,6608,1.75L,1
117473461,1174,Rebel Yell,7346,1.75L,1
118034011,1180,Evan Williams Black Label B,3401,1.75L,1
119560833,1195,Baileys Pumpkin Spice,608,50mL,33
120858141,120,Tarantula Azul Tequila Gift,8581,750mL,41
121437841,1214,Apple Orchard Liqueur,378,750mL,41
121469041,12146,A by Acacia Red Cal,90,750mL,41
122285741,122,DeKuyper Mixed Berry Medley,2857,750mL,41
